TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2015-02-06,15:00,15:59,0.59,kWh,$0.08,
Electric usage,2015-02-06,16:00,16:59,0.19,kWh,$0.03,
Electric usage,2015-02-06,17:00,17:59,0.24,kWh,$0.03,
Electric usage,2015-02-06,18:00,18:59,0.79,kWh,$0.11,
Electric usage,2015-02-06,19:00,19:59,1.6,kWh,$0.21,
Electric usage,2015-02-06,20:00,20:59,0.77,kWh,$0.1,
Electric usage,2015-02-06,21:00,21:59,0.46,kWh,$0.06,
Electric usage,2015-02-06,22:00,22:59,0.41,kWh,$0.05,
Electric usage,2015-02-06,23:00,23:59,0.48,kWh,$0.06,
Electric usage,2015-02-07,00:00,00:59,0.4,kWh,$0.05,
Electric usage,2015-02-07,01:00,01:59,0.75,kWh,$0.1,
Electric usage,2015-02-07,02:00,02:59,0.51,kWh,$0.07,
Electric usage,2015-02-07,03:00,03:59,0.36,kWh,$0.05,
Electric usage,2015-02-07,04:00,04:59,0.4,kWh,$0.05,
Electric usage,2015-02-07,05:00,05:59,0.36,kWh,$0.05,
Electric usage,2015-02-07,06:00,06:59,0.36,kWh,$0.05,
Electric usage,2015-02-07,07:00,07:59,0.34,kWh,$0.05,
Electric usage,2015-02-07,08:00,08:59,0.31,kWh,$0.04,
Electric usage,2015-02-07,09:00,09:59,1.45,kWh,$0.19,
Electric usage,2015-02-07,10:00,10:59,4.21,kWh,$0.56,
Electric usage,2015-02-07,11:00,11:59,2.11,kWh,$0.28,
Electric usage,2015-02-07,12:00,12:59,0.26,kWh,$0.04,
Electric usage,2015-02-07,13:00,13:59,0.62,kWh,$0.08,
Electric usage,2015-02-07,14:00,14:59,0.39,kWh,$0.05,
Electric usage,2015-02-07,15:00,15:59,0.44,kWh,$0.06,
Electric usage,2015-02-07,16:00,16:59,0.98,kWh,$0.13,
Electric usage,2015-02-07,17:00,17:59,2.58,kWh,$0.35,
Electric usage,2015-02-07,18:00,18:59,3.95,kWh,$0.53,
Electric usage,2015-02-07,19:00,19:59,2.2,kWh,$0.29,
Electric usage,2015-02-07,20:00,20:59,0.47,kWh,$0.06,
Electric usage,2015-02-07,21:00,21:59,0.79,kWh,$0.11,
Electric usage,2015-02-07,22:00,22:59,0.4,kWh,$0.05,
Electric usage,2015-02-07,23:00,23:59,0.32,kWh,$0.04,
Electric usage,2015-02-08,00:00,00:59,0.28,kWh,$0.04,
Electric usage,2015-02-08,01:00,01:59,0.6,kWh,$0.08,
Electric usage,2015-02-08,02:00,02:59,0.27,kWh,$0.04,
Electric usage,2015-02-08,03:00,03:59,0.28,kWh,$0.04,
Electric usage,2015-02-08,04:00,04:59,0.26,kWh,$0.04,
Electric usage,2015-02-08,05:00,05:59,0.29,kWh,$0.04,
Electric usage,2015-02-08,06:00,06:59,0.27,kWh,$0.04,
Electric usage,2015-02-08,07:00,07:59,0.25,kWh,$0.03,
Electric usage,2015-02-08,08:00,08:59,0.73,kWh,$0.1,
Electric usage,2015-02-08,09:00,09:59,0.43,kWh,$0.06,
Electric usage,2015-02-08,10:00,10:59,0.43,kWh,$0.06,
Electric usage,2015-02-08,11:00,11:59,0.52,kWh,$0.07,
Electric usage,2015-02-08,12:00,12:59,2.13,kWh,$0.29,
Electric usage,2015-02-08,13:00,13:59,2.68,kWh,$0.36,
Electric usage,2015-02-08,14:00,14:59,1.16,kWh,$0.16,
Electric usage,2015-02-08,15:00,15:59,0.6,kWh,$0.08,
Electric usage,2015-02-08,16:00,16:59,1.94,kWh,$0.26,
Electric usage,2015-02-08,17:00,17:59,0.53,kWh,$0.07,
Electric usage,2015-02-08,18:00,18:59,1.01,kWh,$0.13,
Electric usage,2015-02-08,19:00,19:59,0.68,kWh,$0.09,
Electric usage,2015-02-08,20:00,20:59,3.84,kWh,$0.51,
Electric usage,2015-02-08,21:00,21:59,4.23,kWh,$0.57,
Electric usage,2015-02-08,22:00,22:59,1.1,kWh,$0.15,
Electric usage,2015-02-08,23:00,23:59,0.28,kWh,$0.04,
Electric usage,2015-02-09,00:00,00:59,0.59,kWh,$0.08,
Electric usage,2015-02-09,01:00,01:59,0.26,kWh,$0.04,
Electric usage,2015-02-09,02:00,02:59,0.23,kWh,$0.03,
Electric usage,2015-02-09,03:00,03:59,0.25,kWh,$0.03,
Electric usage,2015-02-09,04:00,04:59,0.25,kWh,$0.03,
Electric usage,2015-02-09,05:00,05:59,0.55,kWh,$0.07,
Electric usage,2015-02-09,06:00,06:59,4.2,kWh,$0.56,
Electric usage,2015-02-09,07:00,07:59,2.35,kWh,$0.31,
Electric usage,2015-02-09,08:00,08:59,0.65,kWh,$0.09,
Electric usage,2015-02-09,09:00,09:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,10:00,10:59,0.43,kWh,$0.06,
Electric usage,2015-02-09,11:00,11:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,12:00,12:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,13:00,13:59,0.42,kWh,$0.06,
Electric usage,2015-02-09,14:00,14:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,15:00,15:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,16:00,16:59,0.09,kWh,$0.01,
Electric usage,2015-02-09,17:00,17:59,0.07,kWh,$0.01,
Electric usage,2015-02-09,18:00,18:59,0.3,kWh,$0.04,
Electric usage,2015-02-09,19:00,19:59,1.51,kWh,$0.2,
Electric usage,2015-02-09,20:00,20:59,1.31,kWh,$0.17,
Electric usage,2015-02-09,21:00,21:59,1.7,kWh,$0.23,
Electric usage,2015-02-09,22:00,22:59,0.86,kWh,$0.11,
Electric usage,2015-02-09,23:00,23:59,0.77,kWh,$0.1,
Electric usage,2015-02-10,00:00,00:59,0.39,kWh,$0.05,
Electric usage,2015-02-10,01:00,01:59,0.36,kWh,$0.05,
Electric usage,2015-02-10,02:00,02:59,0.34,kWh,$0.05,
Electric usage,2015-02-10,03:00,03:59,0.34,kWh,$0.05,
Electric usage,2015-02-10,04:00,04:59,0.67,kWh,$0.09,
Electric usage,2015-02-10,05:00,05:59,0.4,kWh,$0.05,
Electric usage,2015-02-10,06:00,06:59,4.95,kWh,$0.66,
Electric usage,2015-02-10,07:00,07:59,0.09,kWh,$0.01,
Electric usage,2015-02-10,08:00,08:59,0.45,kWh,$0.06,
Electric usage,2015-02-10,09:00,09:59,0.08,kWh,$0.01,
Electric usage,2015-02-10,10:00,10:59,0.08,kWh,$0.01,
Electric usage,2015-02-10,11:00,11:59,0.08,kWh,$0.01,
Electric usage,2015-02-10,12:00,12:59,0.41,kWh,$0.06,
Electric usage,2015-02-10,13:00,13:59,0.07,kWh,$0.01,
Electric usage,2015-02-10,14:00,14:59,0.12,kWh,$0.02,
Electric usage,2015-02-10,15:00,15:59,0.16,kWh,$0.02,
Electric usage,2015-02-10,16:00,16:59,0.13,kWh,$0.02,
Electric usage,2015-02-10,17:00,17:59,0.61,kWh,$0.08,
