TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/25/14,19:00,19:59,2.36,kWh,
Electric usage,1/25/14,20:00,20:59,2.33,kWh,
Electric usage,1/25/14,21:00,21:59,2.6,kWh,
Electric usage,1/25/14,22:00,22:59,2.76,kWh,
Electric usage,1/25/14,23:00,23:59,2.59,kWh,
Electric usage,1/26/14,0:00,0:59,2.58,kWh,
Electric usage,1/26/14,1:00,1:59,2.61,kWh,
Electric usage,1/26/14,2:00,2:59,2.56,kWh,
Electric usage,1/26/14,3:00,3:59,2.73,kWh,
Electric usage,1/26/14,4:00,4:59,2.62,kWh,
Electric usage,1/26/14,5:00,5:59,2.57,kWh,
Electric usage,1/26/14,6:00,6:59,2.68,kWh,
Electric usage,1/26/14,7:00,7:59,2.73,kWh,
Electric usage,1/26/14,8:00,8:59,2.96,kWh,
Electric usage,1/26/14,9:00,9:59,3.11,kWh,
Electric usage,1/26/14,10:00,10:59,3.06,kWh,
Electric usage,1/26/14,11:00,11:59,2.96,kWh,
Electric usage,1/26/14,12:00,12:59,2.81,kWh,
Electric usage,1/26/14,13:00,13:59,2.74,kWh,
Electric usage,1/26/14,14:00,14:59,2.93,kWh,
Electric usage,1/26/14,15:00,15:59,2.9,kWh,
Electric usage,1/26/14,16:00,16:59,2.67,kWh,
Electric usage,1/26/14,17:00,17:59,2.74,kWh,
Electric usage,1/26/14,18:00,18:59,2.49,kWh,
Electric usage,1/26/14,19:00,19:59,2.56,kWh,
Electric usage,1/26/14,20:00,20:59,2.56,kWh,
Electric usage,1/26/14,21:00,21:59,2.44,kWh,
Electric usage,1/26/14,22:00,22:59,2.4,kWh,
Electric usage,1/26/14,23:00,23:59,2.36,kWh,
Electric usage,1/27/14,0:00,0:59,2.4,kWh,
Electric usage,1/27/14,1:00,1:59,2.52,kWh,
Electric usage,1/27/14,2:00,2:59,2.38,kWh,
Electric usage,1/27/14,3:00,3:59,2.4,kWh,
Electric usage,1/27/14,4:00,4:59,2.24,kWh,
Electric usage,1/27/14,5:00,5:59,2.32,kWh,
Electric usage,1/27/14,6:00,6:59,2.58,kWh,
Electric usage,1/27/14,7:00,7:59,2.29,kWh,
Electric usage,1/27/14,8:00,8:59,2.22,kWh,
Electric usage,1/27/14,9:00,9:59,2.16,kWh,
Electric usage,1/27/14,10:00,10:59,2.14,kWh,
Electric usage,1/27/14,11:00,11:59,2.33,kWh,
Electric usage,1/27/14,12:00,12:59,2.31,kWh,
Electric usage,1/27/14,13:00,13:59,2.26,kWh,
Electric usage,1/27/14,14:00,14:59,2.29,kWh,
Electric usage,1/27/14,15:00,15:59,2.23,kWh,
Electric usage,1/27/14,16:00,16:59,2.43,kWh,
Electric usage,1/27/14,17:00,17:59,2.55,kWh,
Electric usage,1/27/14,18:00,18:59,2.42,kWh,
Electric usage,1/27/14,19:00,19:59,2.42,kWh,
Electric usage,1/27/14,20:00,20:59,2.35,kWh,
Electric usage,1/27/14,21:00,21:59,2.58,kWh,
Electric usage,1/27/14,22:00,22:59,2.42,kWh,
Electric usage,1/27/14,23:00,23:59,2.3,kWh,
Electric usage,1/28/14,0:00,0:59,2.32,kWh,
Electric usage,1/28/14,1:00,1:59,2.35,kWh,
Electric usage,1/28/14,2:00,2:59,2.58,kWh,
Electric usage,1/28/14,3:00,3:59,2.51,kWh,
Electric usage,1/28/14,4:00,4:59,2.62,kWh,
Electric usage,1/28/14,5:00,5:59,2.66,kWh,
Electric usage,1/28/14,6:00,6:59,2.86,kWh,
Electric usage,1/28/14,7:00,7:59,2.66,kWh,
Electric usage,1/28/14,8:00,8:59,2.64,kWh,
Electric usage,1/28/14,9:00,9:59,2.65,kWh,
Electric usage,1/28/14,10:00,10:59,2.64,kWh,
Electric usage,1/28/14,11:00,11:59,2.78,kWh,
Electric usage,1/28/14,12:00,12:59,2.56,kWh,
Electric usage,1/28/14,13:00,13:59,2.64,kWh,
Electric usage,1/28/14,14:00,14:59,2.64,kWh,
Electric usage,1/28/14,15:00,15:59,2.76,kWh,
Electric usage,1/28/14,16:00,16:59,2.64,kWh,
Electric usage,1/28/14,17:00,17:59,2.81,kWh,
Electric usage,1/28/14,18:00,18:59,3.1,kWh,
Electric usage,1/28/14,19:00,19:59,3.04,kWh,
Electric usage,1/28/14,20:00,20:59,2.79,kWh,
Electric usage,1/28/14,21:00,21:59,2.69,kWh,
Electric usage,1/28/14,22:00,22:59,2.74,kWh,
Electric usage,1/28/14,23:00,23:59,2.6,kWh,
Electric usage,1/29/14,0:00,0:59,2.66,kWh,
Electric usage,1/29/14,1:00,1:59,2.83,kWh,
Electric usage,1/29/14,2:00,2:59,2.61,kWh,
Electric usage,1/29/14,3:00,3:59,2.73,kWh,
Electric usage,1/29/14,4:00,4:59,2.73,kWh,
Electric usage,1/29/14,5:00,5:59,2.78,kWh,
Electric usage,1/29/14,6:00,6:59,3.16,kWh,
Electric usage,1/29/14,7:00,7:59,2.73,kWh,
Electric usage,1/29/14,8:00,8:59,2.8,kWh,
Electric usage,1/29/14,9:00,9:59,2.98,kWh,
Electric usage,1/29/14,10:00,10:59,2.92,kWh,
Electric usage,1/29/14,11:00,11:59,2.98,kWh,
